icd9v1_code	icd9v1_desc	icd10cm_code	icd10cm_desc	chapter	section	section_desc	parent_code	warning
185	Malignant neoplasm of prostate	C61	Malignant neoplasm of prostate	2	C60-C63	Malignant neoplasms of male genital organs		
2382	Neoplasm of uncertain behavior of skin	D485	Neoplasm of uncertain behavior of skin	2	D37-D48	Neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes	D48	
1749	Malignant neoplasm of breast (female), unspecified	C50919	Malignant neoplasm of unspecified site of unspecified female breast	2	C50	Malignant neoplasms of breast	C5091	
04149	Other and unspecified Escherichia coli [E. coli]	B9620	Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere	1	B95-B97	Bacterial and viral infectious agents	B962	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2392	Neoplasm of unspecified nature of bone, soft tissue, and skin	D492	Neoplasm of unspecified behavior of bone, soft tissue, and skin	2	D49	Neoplasms of unspecified behavior	D49	
0389	Unspecified septicemia	A419	Sepsis, unspecified organism	1	A30-A49	Other bacterial diseases	A41	
24290	Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm	E0590	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm	4	E00-E07	Disorders of thyroid gland	E059	
2113	Benign neoplasm of colon	D120	Benign neoplasm of cecum	2	D10-D36	Benign neoplasms, except benign neuroendocrine tumors	D12	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2449	Unspecified acquired hypothyroidism	E039	Hypothyroidism, unspecified	4	E00-E07	Disorders of thyroid gland	E03	
2468	Other specified disorders of thyroid	E034	Atrophy of thyroid (acquired)	4	E00-E07	Disorders of thyroid gland	E03	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2469	Unspecified disorder of thyroid	E079	Disorder of thyroid, unspecified	4	E00-E07	Disorders of thyroid gland	E07	
25060	Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled	E1140	Type 2 diabetes mellitus with diabetic neuropathy, unspecified	4	E08-E13	Diabetes mellitus	E114	
25080	Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled	E11618	Type 2 diabetes mellitus with other diabetic arthropathy	4	E08-E13	Diabetes mellitus	E1161	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2689	Unspecified vitamin D deficiency	E559	Vitamin D deficiency, unspecified	4	E50-E64	Other nutritional deficiencies	E55	
25002	Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled	E1165	Type 2 diabetes mellitus with hyperglycemia	4	E08-E13	Diabetes mellitus	E116	
2720	Pure hypercholesterolemia	E780	Pure hypercholesterolemia	4	E70-E88	Metabolic disorders	E78	
25040	Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled	E1129	Type 2 diabetes mellitus with other diabetic kidney complication	4	E08-E13	Diabetes mellitus	E112	
2722	Mixed hyperlipidemia	E782	Mixed hyperlipidemia	4	E70-E88	Metabolic disorders	E78	
25000	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled	E119	Type 2 diabetes mellitus without complications	4	E08-E13	Diabetes mellitus	E11	
2752	Disorders of magnesium metabolism	E8340	Disorders of magnesium metabolism, unspecified	4	E70-E88	Metabolic disorders	E834	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2761	Hyposmolality and/or hyponatremia	E871	Hypo-osmolality and hyponatremia	4	E70-E88	Metabolic disorders	E87	
2762	Acidosis	E872	Acidosis	4	E70-E88	Metabolic disorders	E87	
27651	Dehydration	E860	Dehydration	4	E70-E88	Metabolic disorders	E86	
2662	Other B-complex deficiencies	E538	Deficiency of other specified B group vitamins	4	E50-E64	Other nutritional deficiencies	E53	
2767	Hyperpotassemia	E875	Hyperkalemia	4	E70-E88	Metabolic disorders	E87	
2768	Hypopotassemia	E876	Hypokalemia	4	E70-E88	Metabolic disorders	E87	
2769	Electrolyte and fluid disorders not elsewhere classified	E878	Other disorders of electrolyte and fluid balance, not elsewhere classified	4	E70-E88	Metabolic disorders	E87	
27800	Obesity, unspecified	E669	Obesity, unspecified	4	E65-E68	Overweight, obesity and other hyperalimentation	E66	
27801	Morbid obesity	E6601	Morbid (severe) obesity due to excess calories	4	E65-E68	Overweight, obesity and other hyperalimentation	E660	
2724	Other and unspecified hyperlipidemia	E784	Other hyperlipidemia	4	E70-E88	Metabolic disorders	E78	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
2809	Iron deficiency anemia, unspecified	D509	Iron deficiency anemia, unspecified	3	D50-D53	Nutritional anemias	D50	
2851	Acute posthemorrhagic anemia	D62	Acute posthemorrhagic anemia	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes		
2859	Anemia, unspecified	D649	Anemia, unspecified	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D64	
28529	Anemia of other chronic disease	D638	Anemia in other chronic diseases classified elsewhere	3	D60-D64	Aplastic and other anemias and other bone marrow failure syndromes	D63	
2875	Thrombocytopenia, unspecified	D696	Thrombocytopenia, unspecified	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D69	
2869	Other and unspecified coagulation defects	D688	Other specified coagulation defects	3	D65-D69	Coagulation defects, purpura and other hemorrhagic conditions	D68	
28860	Leukocytosis, unspecified	D72829	Elevated white blood cell count, unspecified	3	D70-D77	Other disorders of blood and blood-forming organs	D7282	
